id,should_abstain,expected_category,top_k_categories,retrieval_ok,grounded_ok,abstain_ok,note
1,True,—,可燃ごみ|不燃ごみ|集積所|粗大ごみ,N/A,N/A,False,[too_broad] system応答(abstained=False)→降参か誤断定かは人手判定(REVIEW)
2,False,可燃ごみ,可燃ごみ|不燃ごみ|可燃ごみ|資源,True,True,N/A,実質回答→参照チャンクとの整合は人手判定(REVIEW)
3,True,—,可燃ごみ|不燃ごみ|資源|不燃ごみ,N/A,N/A,True,[item_classify] system応答(abstained=False)→降参か誤断定かは人手判定(REVIEW)
4,False,粗大ごみ,不燃ごみ|不燃ごみ|粗大ごみ|粗大ごみ,True,True,N/A,実質回答→参照チャンクとの整合は人手判定(REVIEW)
5,False,資源,不燃ごみ|資源|資源|資源,True,True,N/A,実質回答→参照チャンクとの整合は人手判定(REVIEW)
6,False,区で収集できないもの,不燃ごみ|粗大ごみ|プラスチック|資源,False,True,N/A,実質回答→参照チャンクとの整合は人手判定(REVIEW)
7,False,粗大ごみ,粗大ごみ|粗大ごみ|粗大ごみ|粗大ごみ,True,True,N/A,実質回答→参照チャンクとの整合は人手判定(REVIEW)
8,True,—,粗大ごみ|粗大ごみ|粗大ごみ|粗大ごみ,N/A,N/A,True,[not_in_corpus] system応答(abstained=False)→降参か誤断定かは人手判定(REVIEW)
9,True,—,粗大ごみ|粗大ごみ|粗大ごみ|粗大ごみ,N/A,N/A,True,[not_in_corpus] system応答(abstained=False)→降参か誤断定かは人手判定(REVIEW)
10,False,粗大ごみ,粗大ごみ|粗大ごみ|粗大ごみ|粗大ごみ,True,True,N/A,実質回答→参照チャンクとの整合は人手判定(REVIEW)
11,False,資源,資源|プラスチック|資源|可燃ごみ,True,True,N/A,実質回答→参照チャンクとの整合は人手判定(REVIEW)
12,True,—,区で収集できないもの|可燃ごみ|不燃ごみ|可燃ごみ,N/A,N/A,True,[item_classify] system応答(abstained=False)→降参か誤断定かは人手判定(REVIEW)
13,True,—,—,N/A,N/A,True,[item_classify] system棄却(routed=item_classify)
14,False,区で収集できないもの,不燃ごみ|プラスチック|不燃ごみ|区で収集できないもの,True,True,N/A,実質回答→参照チャンクとの整合は人手判定(REVIEW)
15,True,—,—,N/A,N/A,True,[collection_day] system棄却(routed=collection_day)
